City,Country,Latitude,Longitude,Temp(F),Humidity,Cloudiness,Wind Speed
Kyzyl-Suu,KG,42.34,78,33.54,100,92,5.17
Buin,CL,-33.73,-70.74,75.9,16,0,11.41
Albany,US,42.65,-73.75,39.06,33,40,17.22
Kyshtovka,RU,56.56,76.62,11.58,76,24,2.93
Cherskiy,RU,68.75,161.3,-15.69,69,76,6.4
Kapaa,US,22.08,-159.32,74.1,60,75,12.75
Vung Tau,VN,10.35,107.08,81.78,94,80,15.01
Svetlogorsk,RU,53.14,59.15,23,85,48,4.47
Puerto Ayora,EC,-0.74,-90.35,82.6,62,0,10.29
Pevek,RU,69.7,170.27,-9.12,99,56,27.2
Aklavik,CA,68.22,-135.01,24.04,73,20,4.7
Taltal,CL,-25.41,-70.49,70.53,67,0,3.6
Saint George,GR,39.45,22.34,51.69,81,40,5.82
Vestmannaeyjar,IS,63.44,-20.27,39.3,92,92,31.79
Busselton,AU,-33.64,115.35,64.63,53,12,15.12
Thompson,CA,55.74,-97.86,46.4,49,20,18.34
Hof,DE,50.32,11.92,34.45,64,0,3.36
Jamestown,AU,-33.21,138.6,52.71,90,0,3.27
Souillac,FR,45.6,-0.6,45.34,75,0,5.82
Kavieng,PG,-2.57,150.8,83.22,100,8,4.94
Mataura,NZ,-46.19,168.86,57.99,94,56,3.49
Ponta Delgada,PT,37.73,-25.67,56.08,71,75,9.17
Rikitea,PF,-23.12,-134.97,78.09,100,0,21.94
Katsuura,JP,33.93,134.5,43.84,93,20,9.17
Chokurdakh,RU,70.62,147.9,-25.77,39,12,5.61
Punta Arenas,CL,-53.16,-70.91,53.44,66,75,18.34
Yellowknife,CA,62.45,-114.38,41.76,69,40,11.41
Lamu,ID,0.57,122.3,72.06,100,20,3.6
Butaritari,KI,3.07,172.79,77.01,100,92,11.99
Kontagora,NG,10.4,5.47,80.79,53,0,4.72
Karratha,AU,-20.74,116.85,82.77,68,92,10.65
Ushuaia,AR,-54.81,-68.31,51.04,61,40,9.17
Vanino,RU,53.93,40.55,36,96,68,4
Lompoc,US,34.64,-120.46,64.6,42,1,7.18
Hilo,US,19.71,-155.08,72.16,50,90,4.7
Atar,MR,20.52,-13.05,68.82,14,32,6.62
Salalah,OM,17.01,54.1,78.8,69,0,3.36
Ekhabi,RU,53.51,142.97,-8.31,64,0,3.83
Saint-Francois,FR,46.42,3.91,36.57,69,0,5.82
Matagami,NG,9.67,8.4,77,23,0,2.24
Srednekolymsk,RU,67.46,153.71,-21,61,24,2.48
Sheridan,US,39.65,-105.03,43.86,41,75,4.7
Ribeira Grande,PT,38.52,-28.7,60.8,77,40,16.11
Avarua,CK,-21.21,-159.78,82.4,83,32,5.82
Bluff,AU,-23.58,149.07,70.62,91,20,2.93
Kodiak,US,39.95,-94.76,52.57,100,1,20.8
Lagoa,PT,37.14,-8.45,59.25,87,0,5.82
Biloela,AU,-24.4,150.51,64.86,87,20,0.13
Hobart,AU,-42.88,147.33,61.16,100,75,4.7
Airai,TL,-8.93,125.41,66.93,89,0,1.36
Sibiti,CG,-3.69,13.35,73.23,98,68,4.16
Ustyuzhna,RU,58.84,36.43,33.72,88,8,8.63
Qaqortoq,GL,60.72,-46.03,12.2,33,20,5.82
Longyearbyen,NO,78.22,15.63,19.4,79,75,18.34
Nanortalik,GL,60.14,-45.24,17.97,100,36,6.62
Arraial do Cabo,BR,-22.97,-42.02,90.12,70,0,8.05
Turukhansk,RU,65.8,87.96,9.15,84,88,10.98
Georgetown,GY,6.8,-58.16,86,62,75,13.87
Khatanga,RU,71.98,102.47,11.4,83,88,11.21
Vila,IT,45.18,8.4,46.11,49,0,4.7
Provideniya,RU,64.42,-173.23,1.23,100,68,12.77
Atuona,PF,-9.8,-139.03,81.78,100,44,14.12
Luderitz,NA,-26.65,15.16,61.26,91,24,12.77
Cape Town,ZA,-33.93,18.42,67.64,77,75,9.17
Magaria,NE,13,8.91,78.72,27,0,6.85
Chuy,UY,-33.69,-53.46,68.82,80,20,17.02
Port Alfred,ZA,-33.59,26.89,69.01,97,56,4
Pimentel,BR,-3.7,-45.5,82.86,77,48,2.82
Newtownards,GB,54.59,-5.69,50.95,81,24,10.29
Bredasdorp,ZA,-34.53,20.04,67.44,83,56,13.87
Saint-Philippe,CA,45.36,-73.48,32.83,84,1,12.75
Kruisfontein,ZA,-34,24.73,68.55,98,88,9.98
Kupang,ID,-10.16,123.6,82.32,90,24,15.01
Mahebourg,MU,-20.41,57.7,79.03,83,40,5.82
Samarai,PG,-10.62,150.67,78.81,100,56,6.62
Tiksi,RU,71.64,128.87,-31.35,52,0,3.71
Hermanus,ZA,-34.42,19.24,65.44,94,92,3.15
Hasaki,JP,35.73,140.83,42.78,93,0,6.93
Mount Isa,AU,-20.73,139.49,71.6,68,8,4.16
Champerico,MX,16.38,-93.6,84.2,42,40,13.87
